,날짜,종가,등락율
441,2001-10-25,3660,-1.35
442,2001-10-26,3620,-1.09
443,2001-10-29,3680,1.66
444,2001-10-30,3480,-5.43
445,2001-10-31,3470,-0.29
446,2001-11-01,3580,3.17
447,2001-11-02,3660,2.23
448,2001-11-05,3700,1.09
449,2001-11-06,3800,2.7
450,2001-11-07,3810,0.26
451,2001-11-08,3860,1.31
452,2001-11-09,3970,2.85
453,2001-11-12,4000,0.76
454,2001-11-13,4000,0.0
455,2001-11-14,4300,7.5
456,2001-11-15,4190,-2.56
457,2001-11-16,4180,-0.24
458,2001-11-19,4370,4.55
459,2001-11-20,4270,-2.29
460,2001-11-21,4220,-1.17
461,2001-11-22,4320,2.37
462,2001-11-23,4440,2.78
463,2001-11-26,4600,3.6
464,2001-11-27,4620,0.43
465,2001-11-28,4380,-5.19
466,2001-11-29,4200,-4.11
467,2001-11-30,4360,3.81
468,2001-12-03,4490,2.98
469,2001-12-04,4600,2.45
470,2001-12-05,5290,15.0
471,2001-12-06,5500,3.97
472,2001-12-07,5670,3.09
473,2001-12-10,5200,-8.29
474,2001-12-11,5170,-0.58
475,2001-12-12,5400,4.45
476,2001-12-13,5300,-1.85
477,2001-12-14,5100,-3.77
478,2001-12-17,5010,-1.76
479,2001-12-18,5210,3.99
480,2001-12-19,5280,1.34
481,2001-12-20,5300,0.38
482,2001-12-21,5030,-5.09
483,2001-12-24,5050,0.4
484,2001-12-26,5160,2.18
485,2001-12-27,5400,4.65
486,2001-12-28,5580,3.33
487,2002-01-02,6160,10.39
488,2002-01-03,6040,-1.95
489,2002-01-04,6380,5.63
490,2002-01-07,6360,-0.31
491,2002-01-08,6230,-2.04
492,2002-01-09,6450,3.53
493,2002-01-10,6160,-4.5
494,2002-01-11,6120,-0.65
495,2002-01-14,6600,7.84
496,2002-01-15,6240,-5.45
497,2002-01-16,6030,-3.37
498,2002-01-17,6000,-0.5
499,2002-01-18,5920,-1.33
500,2002-01-21,5820,-1.69
501,2002-01-22,6000,3.09
502,2002-01-23,6160,2.67
503,2002-01-24,6200,0.65
504,2002-01-25,6460,4.19
505,2002-01-28,6370,-1.39
506,2002-01-29,6300,-1.1
507,2002-01-30,6060,-3.81
508,2002-01-31,6010,-0.83
509,2002-02-01,6180,2.83
510,2002-02-04,6240,0.97
511,2002-02-05,6460,3.53
512,2002-02-06,6380,-1.24
513,2002-02-07,6300,-1.25
514,2002-02-08,6420,1.9
515,2002-02-14,7100,10.59
516,2002-02-15,6830,-3.8
517,2002-02-18,6860,0.44
518,2002-02-19,6850,-0.15
519,2002-02-20,6800,-0.73
520,2002-02-21,6760,-0.59
521,2002-02-22,6670,-1.33
522,2002-02-25,6640,-0.45
523,2002-02-26,6740,1.51
524,2002-02-27,7000,3.86
525,2002-02-28,6860,-2.0
526,2002-03-04,7000,2.04
527,2002-03-05,7220,3.14
528,2002-03-06,7260,0.55
529,2002-03-07,7120,-1.93
530,2002-03-08,6980,-1.97
531,2002-03-11,6970,-0.14
532,2002-03-12,7060,1.29
533,2002-03-13,6960,-1.42
534,2002-03-14,6880,-1.15
535,2002-03-15,6600,-4.07
536,2002-03-18,6640,0.61
537,2002-03-19,6980,5.12
538,2002-03-20,6980,0.0
539,2002-03-21,6830,-2.15
540,2002-03-22,7010,2.64
541,2002-03-25,6800,-3.0
542,2002-03-26,6980,2.65
543,2002-03-27,7270,4.15
544,2002-03-28,7150,-1.65
545,2002-03-29,7360,2.94
546,2002-04-01,7480,1.63
547,2002-04-02,7970,6.55
548,2002-04-03,8080,1.38
549,2002-04-04,7780,-3.71
550,2002-04-08,7380,-5.14
551,2002-04-09,7380,0.0
552,2002-04-10,7120,-3.52
553,2002-04-11,7190,0.98
554,2002-04-12,7380,2.64
555,2002-04-15,7700,4.34
556,2002-04-16,7780,1.04
557,2002-04-17,8120,4.37
558,2002-04-18,8130,0.12
559,2002-04-19,7920,-2.58
560,2002-04-22,8200,3.54
561,2002-04-23,8540,4.15
562,2002-04-24,8640,1.17
563,2002-04-25,8260,-4.4
564,2002-04-26,8000,-3.15
565,2002-04-29,7620,-4.75
566,2002-04-30,7640,0.26
567,2002-05-02,7590,-0.65
568,2002-05-03,7400,-2.5
569,2002-05-06,6960,-5.95
570,2002-05-07,7040,1.15
571,2002-05-08,7250,2.98
572,2002-05-09,7240,-0.14
573,2002-05-10,6680,-7.73
574,2002-05-13,6710,0.45
575,2002-05-14,7160,6.71
576,2002-05-15,7520,5.03
577,2002-05-16,7400,-1.6
578,2002-05-17,7650,3.38
579,2002-05-20,7400,-3.27
580,2002-05-21,7120,-3.78
581,2002-05-22,7400,3.93
582,2002-05-23,7200,-2.7
583,2002-05-24,7320,1.67
584,2002-05-27,7230,-1.23
585,2002-05-28,7390,2.21
586,2002-05-29,7240,-2.03
587,2002-05-30,7100,-1.93
588,2002-05-31,6840,-3.66
589,2002-06-03,7020,2.63
590,2002-06-04,7040,0.28
591,2002-06-05,7110,0.99
592,2002-06-07,6900,-2.95
593,2002-06-10,7000,1.45
594,2002-06-11,7000,0.0
595,2002-06-12,7040,0.57
596,2002-06-14,7190,2.13
597,2002-06-17,7180,-0.14
598,2002-06-18,7260,1.11
599,2002-06-19,6970,-3.99
600,2002-06-20,6820,-2.15
601,2002-06-21,6800,-0.29
602,2002-06-24,6780,-0.29
603,2002-06-25,6770,-0.15
604,2002-06-26,6180,-8.71
605,2002-06-27,6260,1.29
606,2002-06-28,6580,5.11
607,2002-07-02,6750,2.58
608,2002-07-03,6760,0.15
609,2002-07-04,7000,3.55
610,2002-07-05,7160,2.29
611,2002-07-08,7180,0.28
612,2002-07-09,7240,0.84
613,2002-07-10,6940,-4.14
614,2002-07-11,6630,-4.47
615,2002-07-12,7040,6.18
616,2002-07-15,7060,0.28
617,2002-07-16,7080,0.28
618,2002-07-18,7140,0.85
619,2002-07-19,6830,-4.34
620,2002-07-22,6600,-3.37
621,2002-07-23,6900,4.55
622,2002-07-24,6700,-2.9
623,2002-07-25,6780,1.19
624,2002-07-26,6400,-5.6
625,2002-07-29,6500,1.56
626,2002-07-30,6660,2.46
627,2002-07-31,6650,-0.15
628,2002-08-01,6490,-2.41
629,2002-08-02,6390,-1.54
630,2002-08-05,6180,-3.29
631,2002-08-06,6000,-2.91
632,2002-08-07,6240,4.0
633,2002-08-08,6270,0.48
634,2002-08-09,6380,1.75
635,2002-08-12,6340,-0.63
636,2002-08-13,6490,2.37
637,2002-08-14,6440,-0.77
638,2002-08-16,6510,1.09
639,2002-08-19,6660,2.3
640,2002-08-20,6920,3.9
641,2002-08-21,7000,1.16
642,2002-08-22,6950,-0.71
643,2002-08-23,6900,-0.72
644,2002-08-26,6810,-1.3
645,2002-08-27,6660,-2.2
646,2002-08-28,6560,-1.5
647,2002-08-29,6560,0.0
648,2002-08-30,6620,0.91
649,2002-09-02,6800,2.72
650,2002-09-03,6670,-1.91
651,2002-09-04,6480,-2.85
652,2002-09-05,6420,-0.93
653,2002-09-06,6440,0.31
654,2002-09-09,6470,0.47
655,2002-09-10,6600,2.01
656,2002-09-11,6730,1.97
657,2002-09-12,6860,1.93
658,2002-09-13,6630,-3.35
659,2002-09-16,6550,-1.21
660,2002-09-17,6840,4.43
661,2002-09-18,6660,-2.63
662,2002-09-19,6700,0.6
663,2002-09-23,6430,-4.03
664,2002-09-24,6380,-0.78
665,2002-09-25,6140,-3.76
666,2002-09-26,6280,2.28
667,2002-09-27,6190,-1.43
668,2002-09-30,5970,-3.55
669,2002-10-01,5950,-0.34
670,2002-10-02,5990,0.67
671,2002-10-04,6120,2.17
672,2002-10-07,5920,-3.27
673,2002-10-08,6000,1.35
674,2002-10-09,5950,-0.83
675,2002-10-10,5470,-8.07
676,2002-10-11,5470,0.0
677,2002-10-14,5760,5.3
678,2002-10-15,6000,4.17
679,2002-10-16,6100,1.67
680,2002-10-17,6150,0.82
681,2002-10-18,6530,6.18
682,2002-10-21,6480,-0.77
683,2002-10-22,6390,-1.39
684,2002-10-23,6560,2.66
685,2002-10-24,6680,1.83
686,2002-10-25,6800,1.8
687,2002-10-28,7220,6.18
688,2002-10-29,7060,-2.22
689,2002-10-30,6760,-4.25
690,2002-10-31,6900,2.07
691,2002-11-01,6820,-1.16
692,2002-11-04,7350,7.77
693,2002-11-05,7230,-1.63
694,2002-11-06,7310,1.11
695,2002-11-07,7330,0.27
696,2002-11-08,7190,-1.91
697,2002-11-11,6980,-2.92
698,2002-11-12,6930,-0.72
699,2002-11-13,6980,0.72
700,2002-11-14,6800,-2.58
701,2002-11-15,7160,5.29
702,2002-11-18,7020,-1.96
703,2002-11-19,7050,0.43
704,2002-11-20,7200,2.13
705,2002-11-21,7380,2.5
706,2002-11-22,7460,1.08
707,2002-11-25,7570,1.47
708,2002-11-26,7570,0.0
709,2002-11-27,7600,0.4
710,2002-11-28,7700,1.32
711,2002-11-29,7740,0.52
712,2002-12-02,7740,0.0
713,2002-12-03,7860,1.55
714,2002-12-04,7470,-4.96
715,2002-12-05,7470,0.0
716,2002-12-06,7440,-0.4
717,2002-12-09,7450,0.13
718,2002-12-10,7290,-2.15
719,2002-12-11,7320,0.41
720,2002-12-12,7360,0.55
721,2002-12-13,7240,-1.63
722,2002-12-16,6970,-3.73
723,2002-12-17,7070,1.43
724,2002-12-18,7150,1.13
725,2002-12-20,7160,0.14
726,2002-12-23,6960,-2.79
727,2002-12-24,6850,-1.58
728,2002-12-26,6790,-0.88
729,2002-12-27,6720,-1.03
730,2002-12-30,6280,-6.55
731,2003-01-02,6430,2.39
732,2003-01-03,6880,7.0
733,2003-01-06,6990,1.6
734,2003-01-07,6850,-2.0
735,2003-01-08,6800,-0.73
736,2003-01-09,6460,-5.0
737,2003-01-10,6480,0.31
738,2003-01-13,6690,3.24
739,2003-01-14,6570,-1.79
740,2003-01-15,6480,-1.37
741,2003-01-16,6600,1.85
742,2003-01-17,6410,-2.88
743,2003-01-20,6400,-0.16
744,2003-01-21,6380,-0.31
745,2003-01-22,6230,-2.35
746,2003-01-23,6320,1.44
747,2003-01-24,6260,-0.95
748,2003-01-27,5980,-4.47
749,2003-01-28,6140,2.68
750,2003-01-29,5830,-5.05
751,2003-01-30,5830,0.0
752,2003-02-03,5860,0.51
753,2003-02-04,5880,0.34
754,2003-02-05,5820,-1.02
755,2003-02-06,5660,-2.75
756,2003-02-07,5480,-3.18
757,2003-02-10,5390,-1.64
758,2003-02-11,5430,0.74
759,2003-02-12,5600,3.13
760,2003-02-13,5430,-3.04
761,2003-02-14,5460,0.55
762,2003-02-17,5810,6.41
763,2003-02-18,5860,0.86
764,2003-02-19,5940,1.37
765,2003-02-20,6050,1.85
766,2003-02-21,6040,-0.17
767,2003-02-24,6190,2.48
768,2003-02-25,5790,-6.46
769,2003-02-26,5680,-1.9
770,2003-02-27,5670,-0.18
771,2003-02-28,5590,-1.41
772,2003-03-03,5900,5.55
773,2003-03-04,5700,-3.39
774,2003-03-05,5520,-3.16
775,2003-03-06,5520,0.0
776,2003-03-07,5620,1.81
777,2003-03-10,5730,1.96
778,2003-03-11,5750,0.35
779,2003-03-12,5800,0.87
780,2003-03-13,5800,0.0
781,2003-03-14,5930,2.24
782,2003-03-17,5760,-2.87
783,2003-03-18,5980,3.82
784,2003-03-19,5920,-1.0
785,2003-03-20,6230,5.24
786,2003-03-21,6300,1.12
787,2003-03-24,6250,-0.79
788,2003-03-25,6120,-2.08
789,2003-03-26,6080,-0.65
790,2003-03-27,5970,-1.81
791,2003-03-28,6140,2.85
792,2003-03-31,5680,-7.49
793,2003-04-01,5680,0.0
794,2003-04-02,5580,-1.76
795,2003-04-03,5580,0.0
796,2003-04-04,5670,1.61
797,2003-04-07,5980,5.47
798,2003-04-08,5980,0.0
799,2003-04-09,5730,-4.18
800,2003-04-10,5760,0.52
801,2003-04-11,5700,-1.04
802,2003-04-14,5710,0.18
803,2003-04-15,5920,3.68
804,2003-04-16,6210,4.9
805,2003-04-17,6040,-2.74
806,2003-04-18,6300,4.3
807,2003-04-21,6180,-1.9
808,2003-04-22,5970,-3.4
809,2003-04-23,6000,0.5
810,2003-04-24,5900,-1.67
811,2003-04-25,5750,-2.54
812,2003-04-28,5700,-0.87
813,2003-04-29,6010,5.44
814,2003-04-30,6100,1.5
815,2003-05-02,6140,0.66
816,2003-05-06,6260,1.95
817,2003-05-07,6390,2.08
818,2003-05-09,6340,-0.78
819,2003-05-12,6540,3.15
820,2003-05-13,6320,-3.36
821,2003-05-14,6190,-2.06
822,2003-05-15,6300,1.78
823,2003-05-16,6140,-2.54
824,2003-05-19,6020,-1.95
825,2003-05-20,6130,1.83
826,2003-05-21,6080,-0.82
827,2003-05-22,6000,-1.32
828,2003-05-23,6240,4.0
829,2003-05-26,6340,1.6
830,2003-05-27,6280,-0.95
831,2003-05-28,6420,2.23
832,2003-05-29,6490,1.09
833,2003-05-30,6480,-0.15
834,2003-06-02,6680,3.09
835,2003-06-03,6470,-3.14
836,2003-06-04,6580,1.7
837,2003-06-05,6670,1.37
838,2003-06-09,6880,3.15
839,2003-06-10,6880,0.0
840,2003-06-11,6900,0.29
841,2003-06-12,7000,1.45
842,2003-06-13,7010,0.14
843,2003-06-16,6820,-2.71
844,2003-06-17,7140,4.69
845,2003-06-18,7080,-0.84
